"","State","County","fips","frac_coll_plus2010","foreign_share2010","med_hhinc2016","poor_share2010","share_white2010","share_black2010","share_hisp2010","share_asian2010","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2010","traveltime15_2010","emp2000","ln_wage_growth_hs_grad","popdensity2010","ann_avg_job_growth_2004_2013","job_density_2013","turnout.rate"
"1486","Missouri","Atchison County",29005,0.21014515,0.0041308147,43543.6517150396,0.13138166,0.97730869,0.0040457346,0.0096745826,0.0024883361,2.9484451,583.17236,0.22922392,0.52987123,0.58923614,0.1978742,10.387319,-0.01818287,4.9552169,0.678399228543877
"1487","Missouri","Audrain County",29007,0.14477848,0.016563114,43246.6158094716,0.17315212,0.885777,0.074072622,0.026048807,0.0039954563,3.090282,567.05719,0.24729761,0.5517025,0.57031703,0.069883712,36.879093,-0.0064286692,15.204374,0.550982419855222
"1488","Missouri","Barry County",29009,0.12108649,0.038927007,38525.5141444504,0.17164719,0.88504648,0.0042981151,0.077113241,0.0036940018,2.9190156,559.4812,0.3077265,0.40148729,0.57161951,0.013065433,45.739799,-0.018096931,17.845165,0.582188713048671
"1489","Missouri","Barton County",29011,0.13319704,0.0077993283,39205.0403160781,0.15721883,0.94371879,0.0061280439,0.018626029,0.0020964362,2.3007646,517.26624,0.20579302,0.44437137,0.62095934,-0.054754432,20.95212,-0.025453992,8.6092567,0.683653954325571
"1490","Missouri","Bates County",29013,0.11690759,0.0086830715,43154.7659686785,0.17398547,0.9558332,0.011378966,0.016129978,0.0010557804,3.1785643,594.14252,0.22632529,0.3689557,0.57860279,NA,20.376747,-0.0011807897,8.8324337,0.677235052707814
"1491","Missouri","Benton County",29015,0.12501016,0.023916448,33898.8044710327,0.18213503,0.96090472,0.0047753989,0.015270781,0.0026238456,3.3715749,585.03729,0.23625587,0.30731454,0.46799558,NA,27.065914,-0.020707872,9.4310284,0.66023823028928
"1492","Missouri","Bollinger County",29017,0.1006412,0.0080338866,39107.8560220011,0.19552268,0.97363096,0.0033163473,0.0079268785,0.00072797865,2.8502159,560.02649,0.19818789,0.17013468,0.57563108,0.17304955,20.007898,-0.0087320898,8.6501827,0.627477713686418
"1493","Missouri","Boone County",29019,0.46377802,0.058164246,53140.1602230666,0.19819258,0.80961251,0.10599353,0.030096777,0.030558268,2.2569938,714.73767,0.28422296,0.42212832,0.68793947,0.0027922047,237.29086,0.01646645,135.9095,0.668039363674334
"1494","Missouri","Buchanan County",29021,0.19062252,0.024639688,47672.8153271824,0.14650781,0.86251277,0.063440993,0.052398514,0.0065672402,3.2851536,720.8269,0.3818008,0.51786911,0.58205813,0.090332411,218.61543,0.0028524932,107.09586,0.549932381667919
"1495","Missouri","Butler County",29023,0.13934338,0.013905232,37297.9148478759,0.19837363,0.89975232,0.061176799,0.015562929,0.0052619479,3.5401328,592.21667,0.37185273,0.52159536,0.52735525,0.19019465,61.603527,-0.019550659,24.813292,0.561588706931245
"1496","Missouri","Caldwell County",29025,0.1184347,0.0075203273,45027.9754881155,0.15914959,0.95872241,0.008170628,0.015174024,0.0018039049,3.292803,657.89484,0.25279695,0.2443234,0.59700799,0.077162825,22.101675,-0.0025151151,9.5146961,0.68072113986624
"1497","Missouri","Callaway County",29027,0.20607042,0.01035507,50617.7144951728,0.11357097,0.91017777,0.052783541,0.015947849,0.0044255103,2.9480278,620.23395,0.29354176,0.35927114,0.63671279,NA,53.11919,-0.0071032317,24.358477,0.600681818181818
"1498","Missouri","Camden County",29029,0.20719214,0.017043786,47124.7249443207,0.11624275,0.9525249,0.0065906094,0.023044407,0.0037450278,3.4124963,632.37494,0.38689467,0.38713828,0.54257637,-0.13416333,67.083992,-0.0160175,26.024357,0.666147609203426
"1499","Missouri","Cape Girardeau County",29031,0.26889965,0.018644942,47782.8283822713,0.14294219,0.87919229,0.079459257,0.019504718,0.009739466,3.413172,679.44269,0.32055515,0.45081097,0.64240217,NA,130.80258,0.001653206,66.649269,0.665445605003053
"1500","Missouri","Carroll County",29033,0.1794395,0.012146508,42168.3512641205,0.13135742,0.95675093,0.021732114,0.012694997,0.001330377,3.8374641,503.55136,0.24405313,0.41793597,0.58167028,-0.052896596,13.381398,-0.010980311,6.2422528,0.6721044045677
"1501","Missouri","Carter County",29035,0.11092832,0.0092675667,36481.192019154,0.19613358,0.95642459,0.0030327213,0.01660016,0.0007980846,2.7105856,578,0.38306552,0.34916341,0.47805917,0.083775207,12.348209,-0.020101383,4.5411453,0.629235447437011
"1502","Missouri","Cass County",29037,0.21307138,0.018298462,65453.3216490078,0.071581386,0.8954643,0.040983938,0.040089268,0.0053929756,2.8990574,818.60986,0.26283899,0.22334537,0.6682871,-0.028482286,142.75648,0.008429639,70.307693,0.72930535088165
"1503","Missouri","Cedar County",29039,0.11788621,0.01468422,32410.1601344586,0.17907095,0.96066374,0.003003862,0.014590188,0.0029442618,2.4125578,573.10364,0.32819387,0.45335647,0.49079943,NA,29.467863,-0.011489654,11.517799,0.662839936012045
"1504","Missouri","Chariton County",29041,0.14513734,0.0083785504,41468.7064231899,0.14250682,0.96335077,0.02464564,0.0051079043,0.0006384881,3.2840273,467.09845,0.30154234,0.41316268,0.57177007,NA,10.424917,-0.016705686,4.6673174,0.710897994768963
"1505","Missouri","Christian County",29043,0.27087379,0.017803755,54245.1285035261,0.094448157,0.94265199,0.0097904988,0.024514996,0.0040023052,3.7831917,685.47961,0.20811382,0.22352882,0.68370086,0.066918038,137.60364,0.015055457,68.952888,0.730968507131933
"1506","Missouri","Clark County",29045,0.12894933,0.0060871127,45614.3927720969,0.13443559,0.97744781,0.0047625718,0.0058831773,0.0024513237,2.4222605,556.32245,0.2030129,0.294918,0.5959577,0.11326071,14.145233,-0.009807894,6.1304593,0.651064646077115
"1507","Missouri","Clay County",29047,0.30527157,0.045163009,67454.9767593798,0.07744351,0.84082115,0.06003001,0.059029732,0.016721342,3.2968502,823.13068,0.28238344,0.25768623,0.70410633,0.0052871681,558.62659,0.014453985,299.79059,0.692773359460096
"1508","Missouri","Clinton County",29049,0.1764618,0.01109325,57533.1343585788,0.083383836,0.94518632,0.019621078,0.015523309,0.0031506459,3.5753071,680.02222,0.25894433,0.34312853,0.62458348,0.19320156,49.511047,0.0026121091,23.966661,0.69826204065927
"1509","Missouri","Cole County",29051,0.30085614,0.028496273,57168.521937097,0.097465664,0.83230686,0.12072641,0.023621529,0.01119232,3.0077288,632.89197,0.29982632,0.44089338,0.6897828,0.086997047,192.9895,-0.0033529978,95.664276,0.677133117494904
"1510","Missouri","Cooper County",29053,0.15586436,0.010104657,45965.7093915119,0.14557903,0.8950628,0.077041075,0.013181069,0.0038514556,2.0669429,644.53735,0.26105216,0.38013059,0.57230574,0.1564105,31.165119,-0.018035749,12.674275,0.638440070505288
"1511","Missouri","Crawford County",29055,0.10711105,0.005288389,36833.8213475867,0.15288694,0.96388078,0.0047781016,0.014779721,0.002915452,2.9692161,594.45544,0.34016392,0.33898699,0.551081,NA,33.259846,-0.010856477,13.424608,0.594968280648485
"1512","Missouri","Dade County",29057,0.090723611,0.0054905103,37883.1970062159,0.20249441,0.94836992,0.0052010654,0.015349486,0.0013954078,2.1343684,598.32843,0.3255243,0.41119298,0.54995435,NA,16.087362,-0.015312938,6.5610638,0.687760894974119
"1513","Missouri","Dallas County",29059,0.1074354,0.0053183725,37560.5235143351,0.1625908,0.95589197,0.0044704061,0.015497407,0.0016689515,3.1956217,515.81848,0.27509356,0.26970515,0.54340875,NA,31.024336,-0.01001569,11.75918,0.637808909176767
"1514","Missouri","Daviess County",29061,0.1438835,0.008188339,43919.315071742,0.13382225,0.97367483,0.0058105066,0.010316613,0.00047432707,3.4799731,518.76843,0.2548295,0.31997067,0.58836281,NA,14.972303,-0.0030365661,6.7821889,0.638009787928222
"1515","Missouri","DeKalb County",29063,0.12057622,0.015719973,39853.66645982,0.097701319,0.85673285,0.1142569,0.016987279,0.0020943221,3.5085399,535.76233,0.23736252,0.40614545,0.4176788,NA,30.596455,2.3453807e-05,11.244648,0.495447570332481
"1516","Missouri","Dent County",29065,0.11238793,0.010583992,37987.93249026,0.18262237,0.9593792,0.0071533499,0.009452641,0.0021821975,3.239496,532.97827,0.25925991,0.381594,0.52504504,0.063863441,20.798601,-0.0060748635,7.6820788,0.597506902032962
"1517","Missouri","Douglas County",29067,0.10302553,0.0029590325,31521.3512130956,0.2265366,0.9659456,0.0035808242,0.0080385851,0.0016143605,2.8835566,483.7294,0.24670731,0.29399982,0.5371666,-0.048122685,16.818436,-0.026413061,5.6487522,0.677966101694915
"1518","Missouri","Dunklin County",29069,0.099453688,0.024145612,31159.5562544988,0.23825794,0.8292805,0.1047476,0.054048132,0.003176393,3.4189377,523.89307,0.44446647,0.45517975,0.51444143,NA,59.055313,-0.018590629,21.657127,0.48732460243218
